Video URL,Comment Number,Comment Text
https://www.youtube.com/watch?v=97jvvjnDleg&pp=ygUEUFVCRw%3D%3D,36,"21:02 LOL, we have all been there️️ 21:02"
https://www.youtube.com/watch?v=RbKMzpW-zhQ&pp=ygUEUFVCRw%3D%3D,24,"""You play well, I subscribed"
https://www.youtube.com/watch?v=3HmL91l_PHw&pp=ygUEUFVCRw%3D%3D,42,
https://www.youtube.com/watch?v=97jvvjnDleg&pp=ygUEUFVCRw%3D%3D,37,Chitr
https://www.youtube.com/watch?v=FS0FssGNFss&pp=ygUEUFVCRw%3D%3D,24,
https://www.youtube.com/watch?v=RbKMzpW-zhQ&pp=ygUEUFVCRw%3D%3D,25,abdul hussian
https://www.youtube.com/watch?v=3HmL91l_PHw&pp=ygUEUFVCRw%3D%3D,43,Nah something just ain’t right
https://www.youtube.com/watch?v=97jvvjnDleg&pp=ygUEUFVCRw%3D%3D,38,Name ipad
https://www.youtube.com/watch?v=97jvvjnDleg&pp=ygUEUFVCRw%3D%3D,39,🇦🇿🇦🇿🇦🇿🇦🇿🇦🇿. 🇹🇷🇹🇷🇹🇷🇩🇪🇬🇭🇹🇷
https://www.youtube.com/watch?v=3HmL91l_PHw&pp=ygUEUFVCRw%3D%3D,44,Это спидран?
https://www.youtube.com/watch?v=FS0FssGNFss&pp=ygUEUFVCRw%3D%3D,25,
https://www.youtube.com/watch?v=RbKMzpW-zhQ&pp=ygUEUFVCRw%3D%3D,26,Rich is good player in the world
https://www.youtube.com/watch?v=97jvvjnDleg&pp=ygUEUFVCRw%3D%3D,40,"Bro, I’m very embarrassed, but I need to tell you something. The event will end tomorrow morning. Please don’t refuse — I really need it tonight; it’s for 216 UC."
https://www.youtube.com/watch?v=FS0FssGNFss&pp=ygUEUFVCRw%3D%3D,26,ike for face revea
https://www.youtube.com/watch?v=RbKMzpW-zhQ&pp=ygUEUFVCRw%3D%3D,27,সাফওয়ান
https://www.youtube.com/watch?v=RbKMzpW-zhQ&pp=ygUEUFVCRw%3D%3D,28,Kitne gnde event hai bhai yeh .. season 12 ke baad koi asha event nhi aya
https://www.youtube.com/watch?v=3HmL91l_PHw&pp=ygUEUFVCRw%3D%3D,45,Nice bro big fan pls reply me
https://www.youtube.com/watch?v=FS0FssGNFss&pp=ygUEUFVCRw%3D%3D,27,Thanks for 987 subscribers guys ️
